entity1,entity2,relation_type
languages,as French,CONJUNCTION
,,FEATURE-OF
,,HYPONYM-OF
method,intrinsic object structure,USED-FOR
intrinsic object structure,robust visual tracking,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,FEATURE-OF
,,CONJUNCTION
,,FEATURE-OF
,,USED-FOR
digital signal processor -LRB- DSP -RRB- implementation,real-time statistical voice conversion -LRB- VC -RRB-,USED-FOR
real-time statistical voice conversion -LRB- VC -RRB-,silent speech enhancement,USED-FOR
real-time statistical voice conversion -LRB- VC -RRB-,electrolaryngeal speech enhancement,USED-FOR
silent speech enhancement,electrolaryngeal speech enhancement,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
,,FEATURE-OF
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,USED-FOR
method,paraphrase,USED-FOR
paraphrase,machine translation evaluation measures,USED-FOR
BLEU,machine translation evaluation measures,HYPONYM-OF
BLEU,NIST,CONJUNCTION
NIST,machine translation evaluation measures,HYPONYM-OF
variation in a,;,CONJUNCTION
hand-produced sets,to,USED-FOR
hand-produced sets,,CONJUNCTION
,to,USED-FOR
,variation in a,CONJUNCTION
,,COMPARE
,,USED-FOR
Graph unification,unification-based grammar parsing,PART-OF
of unmodified,,PART-OF
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,CONJUNCTION
system,subcategorization dictionary,USED-FOR
textual corpora,system,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,HYPONYM-OF
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
InfoMagnets,interactive corpus exploration tool,HYPONYM-OF
are,text mining .,USED-FOR
submitted,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
conversational speech,language modeling,USED-FOR
,from the,USED-FOR
method,detecting 3D objects,USED-FOR
multi-modalities,method,USED-FOR
an,map,USED-FOR
.,map,USED-FOR
.,,CONJUNCTION
,map,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
compact description of a video sequence,domains,USED-FOR
image map,compact description of a video sequence,USED-FOR
image map,dominant motion,CONJUNCTION
dominant motion,compact description of a video sequence,USED-FOR
video browsing and retrieval,domains,HYPONYM-OF
video browsing and retrieval,compression,CONJUNCTION
compression,domains,HYPONYM-OF
compression,mosaicing,CONJUNCTION
mosaicing,domains,HYPONYM-OF
mosaicing,visual summarization,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
dominant factors,domain divergence,PART-OF
viewpoints,dominant factors,HYPONYM-OF
viewpoints,resolutions,CONJUNCTION
resolutions,dominant factors,HYPONYM-OF
resolutions,illuminations,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,PART-OF
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,EVALUATE-FOR
,,COMPARE
pattern cross,from different dictionaries,PART-OF
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,USED-FOR
model,structure of communicative context,USED-FOR
dialogue interaction,structure of communicative context,FEATURE-OF
web interfaces,desktop PCs,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
approach,parsing,USED-FOR
unification-based parsing,approach,USED-FOR
classification-based knowledge representation,approach,USED-FOR
classification-based knowledge representation,unification-based parsing,CONJUNCTION
that have been,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
user knowledge modeling architecture,ICICLE system,USED-FOR
ICICLE system,language tutoring application,HYPONYM-OF
language tutoring application,deaf learners,USED-FOR
written English,language tutoring application,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
Constraint propagation,constraint programming,PART-OF
,,USED-FOR
,,COMPARE
,,COMPARE
,,CONJUNCTION
,,COMPARE
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
detection method,orthographic variants,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
Uncertainty handling,shape tracking,USED-FOR
greatly improves the tracking performance for very noisy images such,-LSB-,USED-FOR
-LSB-,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
,,PART-OF
,,CONJUNCTION
,,CONJUNCTION
syntax-based constraint,word alignment,USED-FOR
cohesion constraint,syntax-based constraint,HYPONYM-OF
,.,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,be computed automatically from,USED-FOR
,be computed automatically from,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
robust interactive method,speech understanding,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
medium-length speeches,EUROPARL corpus,PART-OF
accuracy,classification method,EVALUATE-FOR
automatic phonetic transcriptions -LRB- APTs -RRB-,manually verified phonetic transcriptions,COMPARE
automatic phonetic transcriptions -LRB- APTs -RRB-,pronunciation variation,USED-FOR
manually verified phonetic transcriptions,pronunciation variation,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,USED-FOR
,,USED-FOR
computer programs,flowing text,USED-FOR
computer programs,fact assertions,USED-FOR
fact assertions,narrative content,FEATURE-OF
,,PART-OF
,,PART-OF
,,FEATURE-OF
,,CONJUNCTION
,,CONJUNCTION
,,USED-FOR
,,FEATURE-OF
a,including biological,USED-FOR
.,traffic,HYPONYM-OF
.,,CONJUNCTION
,traffic,HYPONYM-OF
,,CONJUNCTION
,traffic,HYPONYM-OF
formal analysis,alternative markers,USED-FOR
,,PART-OF
,,PART-OF
,,PART-OF
,,PART-OF
.,performance of,HYPONYM-OF
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
method,NLP structures,USED-FOR
reranking approaches,NLP structures,FEATURE-OF
,clusters or word,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
algorithm,learning the time-varying shape of a non-rigid 3D object,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
Automatic summarization,information extraction,CONJUNCTION
Internet,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
rich spatial-temporal structures,action videos,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
,,COMPARE
the construction,a parser returning,USED-FOR
the construction,,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,FEATURE-OF
,,CONJUNCTION
high variance,to train because,EVALUATE-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,FEATURE-OF
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
exemplar-based framework,image completion,USED-FOR
exemplar-based framework,texture synthesis,USED-FOR
exemplar-based framework,image inpainting,USED-FOR
image completion,texture synthesis,CONJUNCTION
texture synthesis,image inpainting,CONJUNCTION
defined objective,,COMPARE
,,FEATURE-OF
,,FEATURE-OF
,,USED-FOR
,,HYPONYM-OF
,,PART-OF
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
segment order,segmentation,CONJUNCTION
segment order,translation memory system,USED-FOR
segmentation,segment contiguity,CONJUNCTION
segmentation,translation memory system,USED-FOR
segment contiguity,translation memory system,USED-FOR
retrieval,translation memory system,EVALUATE-FOR
,contiguity models -LRB- in the form of,USED-FOR
,contiguity models -LRB- in the form of,CONJUNCTION
,,FEATURE-OF
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
outputs,text collections,USED-FOR
named entity annotations,outputs,HYPONYM-OF
named entity annotations,scenario templates,CONJUNCTION
scenario templates,outputs,HYPONYM-OF
text browser,text collections,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
model-based bundle adjustment algorithm,3D model,USED-FOR
images,3D model,USED-FOR
unknown motions,images,PART-OF
,,USED-FOR
,,COMPARE
,,USED-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,COMPARE
approach,unsupervised learning of parts of speech,USED-FOR
morphological and syntactic information,approach,USED-FOR
only,variety,COMPARE
variety,requires that we consider morphology as well,USED-FOR
,variety,USED-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,FEATURE-OF
,,CONJUNCTION
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
approaches,part-of-speech tagging,USED-FOR
French,approaches,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,COMPARE
,,USED-FOR
Structured-light methods,geometric correspondence data,USED-FOR
geometric correspondence data,robust 3D reconstruction,USED-FOR
,,PART-OF
,,PART-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
adaptive learning procedure,syntactic ambiguity resolution,USED-FOR
maximum likelihood method,fail to,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
approach,statistical sentence generation,USED-FOR
,,USED-FOR
,,COMPARE
,,USED-FOR
,,COMPARE
,,COMPARE
,,CONJUNCTION
natural language -LRB- NL -RRB-,Structured Inheritance Network -LRB- SI-Nets -RRB- paradigm,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,FEATURE-OF
,,FEATURE-OF
algorithm,calibrated camera relative pose estimation,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
fully automated extraction system,gene and protein interactions,USED-FOR
IntEx,fully automated extraction system,HYPONYM-OF
biomedical text,gene and protein interactions,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
method,computational analysis of move structures,USED-FOR
abstracts of research articles,computational analysis of move structures,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
real-time system,multiple object tracking in dynamic scenes,USED-FOR
knowledge,objects .,USED-FOR
,,FEATURE-OF
,,FEATURE-OF
,,CONJUNCTION
,background,EVALUATE-FOR
method,organizing reading materials,USED-FOR
organizing reading materials,vocabulary learning,USED-FOR
,,HYPONYM-OF
bootstrapping approach,Named Entity -LRB- NE -RRB- tagging,USED-FOR
concept-based seeds,bootstrapping approach,USED-FOR
concept-based seeds,successive learners,CONJUNCTION
successive learners,bootstrapping approach,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
word sense disambiguation,Chinese-to-English SMT model,EVALUATE-FOR
WSD evaluation methodology,Chinese-to-English SMT model,EVALUATE-FOR
Senseval-3 Chinese lexical sample task,Chinese-to-English SMT model,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,USED-FOR
,,EVALUATE-FOR
,,COMPARE
,,EVALUATE-FOR
,,COMPARE
,,COMPARE
,,USED-FOR
predicate-argument structures,IE paradigm,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
statistical profile,Named Entity task,USED-FOR
Named Entity task,information extraction task,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
lyrics in music,under-explored language genre of spoken language,HYPONYM-OF
unsuper-vised induction,under-explored language genre of spoken language,USED-FOR
unsuper-vised induction,SMT-style stochastic transduction grammar,USED-FOR
unsuper-vised induction,fully-automatically learned challenge-response system,USED-FOR
hip hop lyrics,SMT-style stochastic transduction grammar,FEATURE-OF
fully-automatically learned challenge-response system,rhyming lyrics,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
spoken multiparty dialogue,predicting segment boundaries,USED-FOR
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,COMPARE
,", are better indicators for the",PART-OF
,,USED-FOR
,", are better indicators for the",PART-OF
,,USED-FOR
,,CONJUNCTION
,,HYPONYM-OF
,,HYPONYM-OF
,,CONJUNCTION
,,USED-FOR
,,FEATURE-OF
,,CONJUNCTION
unsupervised technique,morphology,USED-FOR
hubs,unsupervised technique,USED-FOR
hubs,automaton,PART-OF
one,,HYPONYM-OF
,,PART-OF
,,USED-FOR
,,USED-FOR
conjugate priors,Bayesian machine learning,PART-OF
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
PCFG-LA,generative probabilistic model of parse trees,HYPONYM-OF
,,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,USED-FOR
little,which uses a large amount of speech from a few speakers instead,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
"system ,",,PART-OF
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
CFG filtering techniques,LTAG,USED-FOR
CFG filtering techniques,HPSG,USED-FOR
LTAG,HPSG,COMPARE
,,USED-FOR
,,COMPARE
,,USED-FOR
statistical models,Syntax-based statistical machine translation -LRB- MT -RRB-,USED-FOR
structured data,statistical models,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
distributional measures of word co-occurrences,framework,USED-FOR
,,USED-FOR
,,COMPARE
,,USED-FOR
,,HYPONYM-OF
,,HYPONYM-OF
,,CONJUNCTION
,,EVALUATE-FOR
,,EVALUATE-FOR
,,COMPARE
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
range concatenation grammar -LSB- RCG -RSB- formalism,NLP,USED-FOR
,increasing their worst-case parsing time complexity,FEATURE-OF
,,EVALUATE-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
Ant-Q,symmetric and asym-metric instances of the traveling salesman problem -LRB- TSP -RRB-,USED-FOR
,-RRB- .,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,HYPONYM-OF
,,PART-OF
,,COMPARE
,,USED-FOR
,,COMPARE
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
geometric framework,linear or nonlinear discriminant subspace learning and classification,USED-FOR
,semi-Riemannian space .,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,FEATURE-OF
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
deterministic parser,deterministic parsers,COMPARE
symbolic and connectionist components,it,PART-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
semantic domain models,natural language interpretation,USED-FOR
semantic domain models,fail-soft recovery heuristics,CONJUNCTION
fail-soft recovery heuristics,natural language interpretation,USED-FOR
fail-soft recovery heuristics,control structures,CONJUNCTION
control structures,natural language interpretation,USED-FOR
degree of,domain knowledge,COMPARE
,,CONJUNCTION
,,PART-OF
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,CONJUNCTION
,,CONJUNCTION
,,USED-FOR
,,PART-OF
Stacked Auto-Encoders -LRB- SAE -RRB-,learning imbalanced datasets,USED-FOR
Automatic Speech Recognition,,USED-FOR
system .,Automatic Speech Recognition,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,USED-FOR
,,COMPARE
,,USED-FOR
,,USED-FOR
statistical machine learning algorithm,smallest meaning-bearing units of language,USED-FOR
morphemes,smallest meaning-bearing units of language,HYPONYM-OF
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,EVALUATE-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
spoken language corpus,ATIS -LRB- Air Travel Information System -RRB- domain,USED-FOR
,,EVALUATE-FOR
Hierarchical Directed Acyclic Graph -LRB- HDAG -RRB- Kernel,structured natural language data,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,COMPARE
,,COMPARE
,,CONJUNCTION
generative history-based latent variable model,CoNLL 2008 shared task,USED-FOR
generative history-based latent variable model,synchronous dependency parser,USED-FOR
synchronous dependency parser,syntactic and semantic dependencies,USED-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,FEATURE-OF
,,CONJUNCTION
,,FEATURE-OF
N-gram models,statistical language modeling,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,CONJUNCTION
,,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,EVALUATE-FOR
document classification,applications,HYPONYM-OF
,,COMPARE
,,USED-FOR
,,COMPARE
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,of,USED-FOR
,,CONJUNCTION
,of,USED-FOR
,of,USED-FOR
,of,USED-FOR
,of,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
semantically annotated corpus,large-scale acquisition of word-semantic information,USED-FOR
construction of domain-independent lexica,large-scale acquisition of word-semantic information,HYPONYM-OF
,,PART-OF
,,CONJUNCTION
,,FEATURE-OF
,,FEATURE-OF
Statistical machine translation -LRB- SMT -RRB-,natural language processing,HYPONYM-OF
,,COMPARE
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
unsupervised learning approach,non-English -LRB- Arabic -RRB- stemmer,USED-FOR
parallel corpus as,small -LRB-,USED-FOR
.,sole,USED-FOR
,sole,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
